datetime,load,temp_avg,humidity,rain,area
2012-01-01 00:00:00,4975.275962,15.0,67.0,0.0,Area2
2012-01-01 00:15:00,4687.558248,15.0,67.0,0.0,Area2
2012-01-01 00:30:00,4617.042352,15.0,67.0,0.0,Area2
2012-01-01 00:45:00,4390.978808,15.0,67.0,0.0,Area2
2012-01-01 01:00:00,4236.417747,15.0,67.0,0.0,Area2
2012-01-01 01:15:00,4162.449136,15.0,67.0,0.0,Area2
2012-01-01 01:30:00,4031.058174,15.0,67.0,0.0,Area2
2012-01-01 01:45:00,3854.328733,15.0,67.0,0.0,Area2
2012-01-01 02:00:00,3802.494843,15.0,67.0,0.0,Area2
2012-01-01 02:15:00,3762.65025,15.0,67.0,0.0,Area2
2012-01-01 02:30:00,3586.731632,15.0,67.0,0.0,Area2
2012-01-01 02:45:00,3523.609367,15.0,67.0,0.0,Area2
2012-01-01 03:00:00,3565.334111,15.0,67.0,0.0,Area2
2012-01-01 03:15:00,3426.721111,15.0,67.0,0.0,Area2
2012-01-01 03:30:00,3370.256538,15.0,67.0,0.0,Area2
2012-01-01 03:45:00,3422.102553,15.0,67.0,0.0,Area2
2012-01-01 04:00:00,3310.817557,15.0,67.0,0.0,Area2
2012-01-01 04:15:00,3281.311612,15.0,67.0,0.0,Area2
2012-01-01 04:30:00,3226.18884,15.0,67.0,0.0,Area2
2012-01-01 04:45:00,3288.059514,15.0,67.0,0.0,Area2
2012-01-01 05:00:00,3314.470189,15.0,67.0,0.0,Area2
2012-01-01 05:15:00,3266.868894,15.0,67.0,0.0,Area2
2012-01-01 05:30:00,3362.678413,15.0,67.0,0.0,Area2
2012-01-01 05:45:00,3358.962052,15.0,67.0,0.0,Area2
2012-01-01 06:00:00,3328.333138,15.0,67.0,0.0,Area2
2012-01-01 06:15:00,3356.544909,15.0,67.0,0.0,Area2
2012-01-01 06:30:00,3490.332644,15.0,67.0,0.0,Area2
2012-01-01 06:45:00,3416.103297,15.0,67.0,0.0,Area2
2012-01-01 07:00:00,3440.017968,15.0,67.0,0.0,Area2
2012-01-01 07:15:00,3503.972784,15.0,67.0,0.0,Area2
2012-01-01 07:30:00,3587.868375,15.0,67.0,0.0,Area2
2012-01-01 07:45:00,3730.962969,15.0,67.0,0.0,Area2
2012-01-01 08:00:00,3902.251777,15.0,67.0,0.0,Area2
2012-01-01 08:15:00,4021.973833,15.0,67.0,0.0,Area2
2012-01-01 08:30:00,4107.402994,15.0,67.0,0.0,Area2
2012-01-01 08:45:00,4276.484276,15.0,67.0,0.0,Area2
